"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
385,"韍","hut4",,"h","ut",4,"hut4","喜","君"
386,"黻","hut4",,"h","ut",4,"hut4","喜","君"
387,"祓","hut4",,"h","ut",4,"hut4","喜","君"
388,"髴","hut4",,"h","ut",4,"hut4","喜","君"
389,"惚","hut4",,"h","ut",4,"hut4","喜","君"
390,"忽","hut4",,"h","ut",4,"hut4","喜","君"
391,"囫","hut4",,"h","ut",4,"hut4","喜","君"
392,"笏","hut4",,"h","ut",4,"hut4","喜","君"
393,"甶","hut4",,"h","ut",4,"hut4","喜","君"
394,"𡱽","hut4",,"h","ut",4,"hut4","喜","君"
395,"𢝻","hut4",,"h","ut",4,"hut4","喜","君"
396,"曶","hut4",,"h","ut",4,"hut4","喜","君"
397,"䝆","hut4",,"h","ut",4,"hut4","喜","君"
398,"𧰮","hut4",,"h","ut",4,"hut4","喜","君"
399,"𩖼","hut4",,"h","ut",4,"hut4","喜","君"
400,"颰","hut4",,"h","ut",4,"hut4","喜","君"
401,"㪄","hut4",,"h","ut",4,"hut4","喜","君"
402,"䬍","hut4",,"h","ut",4,"hut4","喜","君"
403,"歘","hut4",,"h","ut",4,"hut4","喜","君"
404,"艴","hut4",,"h","ut",4,"hut4","喜","君"
405,"輪","lun5",,"l","un",5,"lun5","柳","君"
406,"侖","lun5",,"l","un",5,"lun5","柳","君"
407,"倫","lun5",,"l","un",5,"lun5","柳","君"
408,"圇","lun5",,"l","un",5,"lun5","柳","君"
409,"崙","lun5",,"l","un",5,"lun5","柳","君"
410,"崘","lun5",,"l","un",5,"lun5","柳","君"
411,"掄","lun5",,"l","un",5,"lun5","柳","君"
412,"腀","lun5",,"l","un",5,"lun5","柳","君"
413,"綸","lun5",,"l","un",5,"lun5","柳","君"
414,"論","lun5",,"l","un",5,"lun5","柳","君"
415,"淪","lun5",,"l","un",5,"lun5","柳","君"
416,"㖮","lun5",,"l","un",5,"lun5","柳","君"
417,"歕","pun5",,"p","un",5,"pun5","邊","君"
