han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
𧰮,hut4,0.01,h,ut,4,hut4,喜,君
𩖼,hut4,,h,ut,4,hut4,喜,君
颰,hut4,0.01,h,ut,4,hut4,喜,君
㪄,hut4,,h,ut,4,hut4,喜,君
䬍,hut4,,h,ut,4,hut4,喜,君
歘,hut4,,h,ut,4,hut4,喜,君
艴,hut4,,h,ut,4,hut4,喜,君
輪,lun5,,l,un,5,lun5,柳,君
侖,lun5,,l,un,5,lun5,柳,君
倫,lun5,,l,un,5,lun5,柳,君
圇,lun5,,l,un,5,lun5,柳,君
崙,lun5,,l,un,5,lun5,柳,君
崘,lun5,0.01,l,un,5,lun5,柳,君
掄,lun5,,l,un,5,lun5,柳,君
腀,lun5,,l,un,5,lun5,柳,君
綸,lun5,,l,un,5,lun5,柳,君
論,lun5,,l,un,5,lun5,柳,君
淪,lun5,,l,un,5,lun5,柳,君
㖮,lun5,,l,un,5,lun5,柳,君
歕,pun5,,p,un,5,pun5,邊,君
群,kun5,0.01,k,un,5,kun5,求,君
宭,kun5,,k,un,5,kun5,求,君
羣,kun5,,k,un,5,kun5,求,君
帬,kun5,0.01,k,un,5,kun5,求,君
𢂽,kun5,0.01,k,un,5,kun5,求,君
裙,kun5,,k,un,5,kun5,求,君
脣,tun5,,t,un,5,tun5,地,君
唇,tun5,0.01,t,un,5,tun5,地,君
漘,tun5,,t,un,5,tun5,地,君
豚,tun5,,t,un,5,tun5,地,君
豘,tun5,,t,un,5,tun5,地,君
屯,tun5,,t,un,5,tun5,地,君
魨,tun5,,t,un,5,tun5,地,君
臀,tun5,,t,un,5,tun5,地,君
吨,tun5,,t,un,5,tun5,地,君
軘,tun5,,t,un,5,tun5,地,君
盆,phun5,,ph,un,5,phun5,頗,君
葐,phun5,,ph,un,5,phun5,頗,君
㖹,phun5,,ph,un,5,phun5,頗,君
湓,phun5,,ph,un,5,phun5,頗,君
坌,thun5,,th,un,5,thun5,他,君
豚,thun5,,th,un,5,thun5,他,君
䝍,thun5,,th,un,5,thun5,他,君
黗,thun5,,th,un,5,thun5,他,君
存,tsun5,,ts,un,5,tsun5,曾,君
